estimator,min_score,mean_score,max_score,std_score,learning_rate,max_depth,min_child_weight,n_estimators
XGBRegressor,0.4827546927611666,0.5628675352612875,0.6230278278161825,0.0513807617670126,0.1,7,1,1000
XGBRegressor,0.48899294896577894,0.5615258255147794,0.6090764122377537,0.04805553579063961,0.1,7,5,200
XGBRegressor,0.48879047868992315,0.5608341166303011,0.6016062635024473,0.04401622523220298,0.1,13,3,500
XGBRegressor,0.4890083979085897,0.5601869591023603,0.6080807650279174,0.04755630921262639,0.1,5,5,500
XGBRegressor,0.4897266237408477,0.5598282108870801,0.6085711589967926,0.045801786548907125,0.1,9,5,1000
XGBRegressor,0.49123237908665474,0.5576841270240879,0.6118867995932066,0.04538343026923565,0.1,13,5,500
XGBRegressor,0.4713888077264927,0.5563469448336473,0.6122939032508579,0.05237359528344182,0.1,9,1,500
XGBRegressor,0.4855171866559558,0.5549483856376699,0.5969543873368615,0.04464185533519603,0.1,7,1,200
XGBRegressor,0.4826962182334129,0.5543578158836754,0.602571585178157,0.047481531595434896,0.1,5,5,1000
XGBRegressor,0.4747308028624188,0.5531852831509756,0.5941554367661408,0.048682534432066736,0.1,11,3,500
XGBRegressor,0.48168915881823987,0.5528898951588366,0.5989301991687486,0.045553816068049785,0.1,7,5,1000
RandomForestRegressor,0.47437116331751067,0.5511742789684336,0.5911793295422417,0.04763391686904362,,30,,30
XGBRegressor,0.48052520903833434,0.5510672326823742,0.5998108767736225,0.0476354518027332,0.1,5,3,500
XGBRegressor,0.48501226338328934,0.5503668801442103,0.5926537741213529,0.04505946881328928,0.1,7,3,200
XGBRegressor,0.48132748399151226,0.5500664850808519,0.5958357776747344,0.043926244806042285,0.1,11,5,500
XGBRegressor,0.4739023901330826,0.5499937756376156,0.5966796708020506,0.04726896663289367,0.1,5,1,500
XGBRegressor,0.481071385407871,0.5496177063412175,0.5923005877704159,0.04422427306955896,0.1,7,3,1000
XGBRegressor,0.4768276117635213,0.5464652639909102,0.5915478074111988,0.04515508009779176,0.1,7,5,500
XGBRegressor,0.4772032720456026,0.5458222128688117,0.5919408563447298,0.045232433117111046,0.1,9,5,200
XGBRegressor,0.4786257511892116,0.5457904019328406,0.5989856261171664,0.044145877640929206,0.1,13,1,200
RandomForestRegressor,0.47568872917477534,0.5454741779143109,0.583857323586145,0.0439546552798924,,30,,200
